                                Prefix Verb                URI Pattern                                                                       Controller#Action
              contact_contacts_project DELETE              /contacts/:contact_id/projects/:id(.:format)                                      contacts_projects#destroy
                              contacts GET                 /contacts(.:format)                                                               contacts#index
                                       POST                /contacts(.:format)                                                               contacts#create
                           new_contact GET                 /contacts/new(.:format)                                                           contacts#new
                          edit_contact GET                 /contacts/:id/edit(.:format)                                                      contacts#edit
                               contact GET                 /contacts/:id(.:format)                                                           contacts#show
                                       PATCH               /contacts/:id(.:format)                                                           contacts#update
                                       PUT                 /contacts/:id(.:format)                                                           contacts#update
                                       DELETE              /contacts/:id(.:format)                                                           contacts#destroy
       contacts_notes_project_contacts GET                 /projects/:project_id/contacts/notes(.:format)                                    contacts#contacts_notes
                      project_contacts GET                 /projects/:project_id/contacts(.:format)                                          contacts#index
                                       POST                /projects/:project_id/contacts(.:format)                                          contacts#create
                   new_project_contact GET                 /projects/:project_id/contacts/new(.:format)                                      contacts#new
                  edit_project_contact GET                 /projects/:project_id/contacts/:id/edit(.:format)                                 contacts#edit
                       project_contact GET                 /projects/:project_id/contacts/:id(.:format)                                      contacts#show
                                       PATCH               /projects/:project_id/contacts/:id(.:format)                                      contacts#update
                                       PUT                 /projects/:project_id/contacts/:id(.:format)                                      contacts#update
                                       DELETE              /projects/:project_id/contacts/:id(.:format)                                      contacts#destroy
       settings_project_contact_import GET                 /projects/:project_id/contact_imports/:id/settings(.:format)                      contact_imports#settings
                                       POST                /projects/:project_id/contact_imports/:id/settings(.:format)                      contact_imports#settings
        mapping_project_contact_import GET                 /projects/:project_id/contact_imports/:id/mapping(.:format)                       contact_imports#mapping
                                       POST                /projects/:project_id/contact_imports/:id/mapping(.:format)                       contact_imports#mapping
            run_project_contact_import GET                 /projects/:project_id/contact_imports/:id/run(.:format)                           contact_imports#run
                                       POST                /projects/:project_id/contact_imports/:id/run(.:format)                           contact_imports#run
               project_contact_imports POST                /projects/:project_id/contact_imports(.:format)                                   contact_imports#create
            new_project_contact_import GET                 /projects/:project_id/contact_imports/new(.:format)                               contact_imports#new
                project_contact_import GET                 /projects/:project_id/contact_imports/:id(.:format)                               contact_imports#show
          settings_project_deal_import GET                 /projects/:project_id/deal_imports/:id/settings(.:format)                         deal_imports#settings
                                       POST                /projects/:project_id/deal_imports/:id/settings(.:format)                         deal_imports#settings
           mapping_project_deal_import GET                 /projects/:project_id/deal_imports/:id/mapping(.:format)                          deal_imports#mapping
                                       POST                /projects/:project_id/deal_imports/:id/mapping(.:format)                          deal_imports#mapping
               run_project_deal_import GET                 /projects/:project_id/deal_imports/:id/run(.:format)                              deal_imports#run
                                       POST                /projects/:project_id/deal_imports/:id/run(.:format)                              deal_imports#run
                  project_deal_imports POST                /projects/:project_id/deal_imports(.:format)                                      deal_imports#create
               new_project_deal_import GET                 /projects/:project_id/deal_imports/new(.:format)                                  deal_imports#new
                   project_deal_import GET                 /projects/:project_id/deal_imports/:id(.:format)                                  deal_imports#show
               project_deal_categories GET                 /projects/:project_id/deal_categories(.:format)                                   deal_categories#index
                                       POST                /projects/:project_id/deal_categories(.:format)                                   deal_categories#create
             new_project_deal_category GET                 /projects/:project_id/deal_categories/new(.:format)                               deal_categories#new
            edit_project_deal_category GET                 /projects/:project_id/deal_categories/:id/edit(.:format)                          deal_categories#edit
                 project_deal_category GET                 /projects/:project_id/deal_categories/:id(.:format)                               deal_categories#show
                                       PATCH               /projects/:project_id/deal_categories/:id(.:format)                               deal_categories#update
                                       PUT                 /projects/:project_id/deal_categories/:id(.:format)                               deal_categories#update
                                       DELETE              /projects/:project_id/deal_categories/:id(.:format)                               deal_categories#destroy
                                       GET                 /projects(.:format)                                                               projects#index
                                       POST                /projects(.:format)                                                               projects#create
                                       GET                 /projects/new(.:format)                                                           projects#new
                                       GET                 /projects/:id/edit(.:format)                                                      projects#edit
                                       GET                 /projects/:id(.:format)                                                           projects#show
                                       PATCH               /projects/:id(.:format)                                                           projects#update
                                       PUT                 /projects/:id(.:format)                                                           projects#update
                                       DELETE              /projects/:id(.:format)                                                           projects#destroy
                       bulk_edit_deals GET                 /deals/bulk_edit(.:format)                                                        deals#bulk_edit
                    context_menu_deals GET                 /deals/context_menu(.:format)                                                     deals#context_menu
                      edit_mails_deals GET                 /deals/edit_mails(.:format)                                                       deals#edit_mails
                   preview_email_deals GET                 /deals/preview_email(.:format)                                                    deals#preview_email
                                       POST                /deals/bulk_edit(.:format)                                                        deals#bulk_edit
                     bulk_update_deals POST                /deals/bulk_update(.:format)                                                      deals#bulk_update
                      send_mails_deals POST                /deals/send_mails(.:format)                                                       deals#send_mails
                     update_form_deals POST                /deals/update_form(.:format)                                                      deals#update_form
                                       PUT                 /deals/update_form(.:format)                                                      deals#update_form
                    bulk_destroy_deals DELETE              /deals/bulk_destroy(.:format)                                                     deals#bulk_destroy
                                 deals GET                 /deals(.:format)                                                                  deals#index
                                       POST                /deals(.:format)                                                                  deals#create
                              new_deal GET                 /deals/new(.:format)                                                              deals#new
                             edit_deal GET                 /deals/:id/edit(.:format)                                                         deals#edit
                                  deal GET                 /deals/:id(.:format)                                                              deals#show
                                       PATCH               /deals/:id(.:format)                                                              deals#update
                                       PUT                 /deals/:id(.:format)                                                              deals#update
                                       DELETE              /deals/:id(.:format)                                                              deals#destroy
                         project_deals GET                 /projects/:project_id/deals(.:format)                                             deals#index
                                       POST                /projects/:project_id/deals(.:format)                                             deals#create
                      new_project_deal GET                 /projects/:project_id/deals/new(.:format)                                         deals#new
                                       GET                 /projects/:project_id/deal_categories(.:format)                                   deal_categories#index
                                       POST                /projects/:project_id/deal_categories(.:format)                                   deal_categories#create
                                       GET                 /projects/:project_id/deal_categories/new(.:format)                               deal_categories#new
                                       GET                 /projects(.:format)                                                               projects#index
                                       POST                /projects(.:format)                                                               projects#create
                                       GET                 /projects/new(.:format)                                                           projects#new
                                       GET                 /projects/:id/edit(.:format)                                                      projects#edit
                                       GET                 /projects/:id(.:format)                                                           projects#show
                                       PATCH               /projects/:id(.:format)                                                           projects#update
                                       PUT                 /projects/:id(.:format)                                                           projects#update
                                       DELETE              /projects/:id(.:format)                                                           projects#destroy
                    edit_deal_category GET                 /deal_categories/:id/edit(.:format)                                               deal_categories#edit
                         deal_category PATCH               /deal_categories/:id(.:format)                                                    deal_categories#update
                                       PUT                 /deal_categories/:id(.:format)                                                    deal_categories#update
                                       DELETE              /deal_categories/:id(.:format)                                                    deal_categories#destroy
       assing_to_project_deal_statuses PUT                 /deal_statuses/assing_to_project(.:format)                                        deal_statuses#assing_to_project
                         deal_statuses GET                 /deal_statuses(.:format)                                                          deal_statuses#index
                                       POST                /deal_statuses(.:format)                                                          deal_statuses#create
                       new_deal_status GET                 /deal_statuses/new(.:format)                                                      deal_statuses#new
                      edit_deal_status GET                 /deal_statuses/:id/edit(.:format)                                                 deal_statuses#edit
                           deal_status PATCH               /deal_statuses/:id(.:format)                                                      deal_statuses#update
                                       PUT                 /deal_statuses/:id(.:format)                                                      deal_statuses#update
                                       DELETE              /deal_statuses/:id(.:format)                                                      deal_statuses#destroy
                   project_crm_queries POST                /projects/:project_id/crm_queries(.:format)                                       crm_queries#create
                 new_project_crm_query GET                 /projects/:project_id/crm_queries/new(.:format)                                   crm_queries#new
                                       GET                 /projects(.:format)                                                               projects#index
                                       POST                /projects(.:format)                                                               projects#create
                                       GET                 /projects/new(.:format)                                                           projects#new
                                       GET                 /projects/:id/edit(.:format)                                                      projects#edit
                                       GET                 /projects/:id(.:format)                                                           projects#show
                                       PATCH               /projects/:id(.:format)                                                           projects#update
                                       PUT                 /projects/:id(.:format)                                                           projects#update
                                       DELETE              /projects/:id(.:format)                                                           projects#destroy
                           crm_queries GET                 /crm_queries(.:format)                                                            crm_queries#index
                                       POST                /crm_queries(.:format)                                                            crm_queries#create
                         new_crm_query GET                 /crm_queries/new(.:format)                                                        crm_queries#new
                        edit_crm_query GET                 /crm_queries/:id/edit(.:format)                                                   crm_queries#edit
                             crm_query PATCH               /crm_queries/:id(.:format)                                                        crm_queries#update
                                       PUT                 /crm_queries/:id(.:format)                                                        crm_queries#update
                                       DELETE              /crm_queries/:id(.:format)                                                        crm_queries#destroy
                                 notes GET                 /notes(.:format)                                                                  notes#index
                                       POST                /notes(.:format)                                                                  notes#create
                              new_note GET                 /notes/new(.:format)                                                              notes#new
                             edit_note GET                 /notes/:id/edit(.:format)                                                         notes#edit
                                  note GET                 /notes/:id(.:format)                                                              notes#show
                                       PATCH               /notes/:id(.:format)                                                              notes#update
                                       PUT                 /notes/:id(.:format)                                                              notes#update
                                       DELETE              /notes/:id(.:format)                                                              notes#destroy
                         contacts_tags DELETE              /contacts_tags(.:format)                                                          contacts_tags#destroy
                   merge_contacts_tags POST                /contacts_tags/merge(.:format)                                                    contacts_tags#merge
         context_menucha_contacts_tags POST                /contacts_tags/context_menucha(.:format)                                          contacts_tags#context_menucha
            context_menu_contacts_tags GET                 /contacts_tags/context_menu(.:format)                                             contacts_tags#context_menu
                                       GET                 /contacts_tags/merge(.:format)                                                    contacts_tags#merge
                                       GET                 /contacts_tags(.:format)                                                          contacts_tags#index
                                       POST                /contacts_tags(.:format)                                                          contacts_tags#create
                      new_contacts_tag GET                 /contacts_tags/new(.:format)                                                      contacts_tags#new
                     edit_contacts_tag GET                 /contacts_tags/:id/edit(.:format)                                                 contacts_tags#edit
                          contacts_tag GET                 /contacts_tags/:id(.:format)                                                      contacts_tags#show
                                       PATCH               /contacts_tags/:id(.:format)                                                      contacts_tags#update
                                       PUT                 /contacts_tags/:id(.:format)                                                      contacts_tags#update
                                       DELETE              /contacts_tags/:id(.:format)                                                      contacts_tags#destroy
                                       POST                /projects/:project_id/contacts/:contact_id/new_task(.:format)                     contacts_issues#new
                                       GET|POST            /contacts/:contact_id/duplicates(.:format)                                        contacts_duplicates#index
                                       GET|POST            /projects/:project_id/deal_categories/new(.:format)                               deal_categories#new
           auto_complete_taggable_tags GET                 /auto_completes/taggable_tags(.:format)                                           auto_completes#taggable_tags
            auto_complete_contact_tags GET                 /auto_completes/contact_tags(.:format)                                            auto_completes#contact_tags
                auto_complete_contacts GET                 /auto_completes/contacts(.:format)                                                auto_completes#contacts
               auto_complete_companies GET                 /auto_completes/companies(.:format)                                               auto_completes#companies
                   auto_complete_deals GET                 /auto_completes/deals(.:format)                                                   auto_completes#deals
                                       GET                 /users/new_from_contact/:id(.:format)                                             users#new_from_contact
                                       GET|POST            /contacts_duplicates/:action(.:format)                                            contacts_duplicates#:action
            contacts_duplicates_search GET                 /contacts_duplicates/search(.:format)                                             contacts_duplicates#search
                                       GET|POST|DELETE|PUT /contacts_issues/:action(.:format)                                                contacts_issues#:action
                                       GET|POST            /contacts_vcf/:action(.:format)                                                   contacts_vcf#:action
                                       GET|POST|DELETE     /deal_contacts/:action(.:format)                                                  deal_contacts#:action
                                       GET|POST|PUT        /deals_tasks/:action(.:format)                                                    deals_tasks#:action
                                       GET|POST            /contacts_settings/:action(.:format)                                              contacts_settings#:action
                                       GET|POST            /contacts_mailer/:action(.:format)                                                contacts_mailer#:action
                                       GET                 /attachments/contacts_thumbnail/:id(/:size)(.:format)                             attachments#contacts_thumbnail {:id=>/\d+/}
                  edit_helpdesk_ticket GET                 /helpdesk_tickets/:id/edit(.:format)                                              helpdesk_tickets#edit
                       helpdesk_ticket PATCH               /helpdesk_tickets/:id(.:format)                                                   helpdesk_tickets#update
                                       PUT                 /helpdesk_tickets/:id(.:format)                                                   helpdesk_tickets#update
                                       DELETE              /helpdesk_tickets/:id(.:format)                                                   helpdesk_tickets#destroy
              project_canned_responses POST                /projects/:project_id/canned_responses(.:format)                                  canned_responses#create
           new_project_canned_response GET                 /projects/:project_id/canned_responses/new(.:format)                              canned_responses#new
                                       GET                 /projects(.:format)                                                               projects#index
                                       POST                /projects(.:format)                                                               projects#create
                                       GET                 /projects/new(.:format)                                                           projects#new
                                       GET                 /projects/:id/edit(.:format)                                                      projects#edit
                                       GET                 /projects/:id(.:format)                                                           projects#show
                                       PATCH               /projects/:id(.:format)                                                           projects#update
                                       PUT                 /projects/:id(.:format)                                                           projects#update
                                       DELETE              /projects/:id(.:format)                                                           projects#destroy
                  add_canned_responses POST                /canned_responses/add(.:format)                                                   canned_responses#add
                      canned_responses GET                 /canned_responses(.:format)                                                       canned_responses#index
                                       POST                /canned_responses(.:format)                                                       canned_responses#create
                   new_canned_response GET                 /canned_responses/new(.:format)                                                   canned_responses#new
                  edit_canned_response GET                 /canned_responses/:id/edit(.:format)                                              canned_responses#edit
                       canned_response GET                 /canned_responses/:id(.:format)                                                   canned_responses#show
                                       PATCH               /canned_responses/:id(.:format)                                                   canned_responses#update
                                       PUT                 /canned_responses/:id(.:format)                                                   canned_responses#update
                                       DELETE              /canned_responses/:id(.:format)                                                   canned_responses#destroy
                       helpdesk_mailer GET|POST            /helpdesk_mailer(.:format)                                                        helpdesk_mailer#index
              helpdesk_mailer_get_mail GET|POST|PUT        /helpdesk_mailer/get_mail(.:format)                                               helpdesk_mailer#get_mail
                helpdesk_save_settings GET|POST|PUT        /helpdesk/save_settings(.:format)                                                 helpdesk#save_settings
                     helpdesk_get_mail GET|POST|PUT        /helpdesk/get_mail(.:format)                                                      helpdesk#get_mail
                  helpdesk_delete_spam DELETE              /helpdesk/delete_spam(.:format)                                                   helpdesk#delete_spam
                                       GET|POST            /helpdesk/email_note.:format                                                      helpdesk#email_note
                                       GET|POST            /helpdesk/create_ticket.:format                                                   helpdesk#create_ticket
                helpdesk_show_original GET|POST            /helpdesk/show_original(.:format)                                                 helpdesk#show_original
                                       GET|POST            /helpdesk_reports/index(/:project_id)(.:format)                                   helpdesk_reports#index
                                       GET|POST            /helpdesk_reports/staff_report(/:project_id)(.:format)                            helpdesk_reports#staff_report
                                       GET|POST            /helpdesk_reports/tickets_report(/:project_id)(.:format)                          helpdesk_reports#tickets_report
             mail_fetcher_receive_imap GET                 /mail_fetcher/receive_imap(.:format)                                              mail_fetcher#receive_imap
             mail_fetcher_receive_pop3 GET                 /mail_fetcher/receive_pop3(.:format)                                              mail_fetcher#receive_pop3
                         public_ticket GET|POST            /tickets/:id/:hash(.:format)                                                      public_tickets#show
             public_ticket_add_comment GET|POST            /tickets/:id/add_comment/:hash(.:format)                                          public_tickets#add_comment
                   helpdesk_votes_show GET                 /vote/:id/:hash(.:format)                                                         helpdesk_votes#show
                   helpdesk_votes_vote POST                /vote/:id/:hash(.:format)                                                         helpdesk_votes#vote
              helpdesk_votes_fast_vote GET                 /vote/:id/:vote/:hash(.:format)                                                   helpdesk_votes#fast_vote
               hashed_named_attachment GET                 /attachments/:id/:ticket_id/:hash/:filename(.:format)                             attachments#show {:id=>/\d+/, :filename=>/.*/}
      hashed_download_named_attachment GET                 /attachments/download_hashed/:id/:ticket_id/:hash/:filename(.:format)             attachments#download {:id=>/\d+/, :filename=>/.*/}
